objectid,parentid,filename,title,format,description,creator,date,item_information,subject,identifier,rights,type,language
ahmadjamal1,,new_rumba_1.jpg,New Rhumba Piano,multiple,Printed lead sheet of Jamal's own composition from the album Ahmad Jamal Plays,Ahmad Jamal,1955,sheet music,Piano music (jazz),AJ.NR1,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
aj1,ahmadjamal1,new_rumba_2.jpg,New Rhumba Piano,image/jpg,Printed lead sheet of Jamal's own composition from the album Ahmad Jamal Plays,Ahmad Jamal,1955,sheet music,Piano music (jazz),AJ.NR1,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
ahmadjamal2,,never_1.jpg,Never Never Land Piano,multiple,"Printed piano part with music by Jule Styne for ""Peter Pan"" and arranged by Joe Kennedy, from the album Jamal at the Penthouse",Ahmad Jamal,1959,sheet music,Piano music (jazz),AJ.NL5,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
aj2,ahmadjamal2,never_2.jpg,Never Never Land Piano,image/jpg,"Printed piano part with music by Jule Styne for ""Peter Pan"" and arranged by Joe Kennedy, from the album Jamal at the Penthouse",Ahmad Jamal,1959,sheet music,Piano music (jazz),AJ.NL5,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
aj3,ahmadjamal2,never_3.jpg,Never Never Land Piano,image/jpg,"Printed piano part with music by Jule Styne for ""Peter Pan"" and arranged by Joe Kennedy, from the album Jamal at the Penthouse",Ahmad Jamal,1959,sheet music,Piano music (jazz),AJ.NL5,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
aj4,ahmadjamal2,never_4.jpg,Never Never Land Piano,image/jpg,"Printed piano part with music by Jule Styne for ""Peter Pan"" and arranged by Joe Kennedy, from the album Jamal at the Penthouse",Ahmad Jamal,1959,sheet music,Piano music (jazz),AJ.NL5,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
aj5,ahmadjamal2,never_5.jpg,Never Never Land Piano,image/jpg,"Printed piano part with music by Jule Styne for ""Peter Pan"" and arranged by Joe Kennedy, from the album Jamal at the Penthouse",Ahmad Jamal,1959,sheet music,Piano music (jazz),AJ.NL5,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
aj6,ahmadjamal2,never_6.jpg,Never Never Land Piano,image/jpg,"Printed piano part with music by Jule Styne for ""Peter Pan"" and arranged by Joe Kennedy, from the album Jamal at the Penthouse",Ahmad Jamal,1959,sheet music,Piano music (jazz),AJ.NL5,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
ahmadjamal3,,ahmads_waltz_1.jpg,Ahmad's Waltz Full Score,multiple,"Oversized handwritten manuscript, composed and arranged by Joe Kennedy, from the album Listen to the Ahmad Jamal Quintet",Ahmad Jamal,1961,sheet music,Piano music (jazz),AJ.AW7,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
aj7,ahmadjamal3,ahmads_waltz_2.jpg,Ahmad's Waltz Full Score,image/jpg,"Oversized handwritten manuscript, composed and arranged by Joe Kennedy, from the album Listen to the Ahmad Jamal Quintet",Ahmad Jamal,1961,sheet music,Piano music (jazz),AJ.AW7,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
ahmadjamal4,,little_ditty.jpg,Little Ditty Piano Sketch,image/jpg,The beginnings of a handwritten sketch of Jamal's own composition,Ahmad Jamal,1967,sheet music,Piano music (jazz),AJ.LD10,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
ahmadjamal5,,my_latin_1.jpg,My Latin Lead Sheet with Lyrics,multiple,"Printed lead sheet with lyrics written by L. Aziza Miller, from the album Picture Perfect",Ahmad Jamal,2001,sheet music,Piano music (jazz),AJ.ML26,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng
aj8,ahmadjamal5,my_latin_2.jpg,My Latin Lead Sheet with Lyrics,image/jpg,"Printed lead sheet with lyrics written by L. Aziza Miller, from the album Picture Perfect",Ahmad Jamal,2001,sheet music,Piano music (jazz),AJ.ML26,"The University of Pittsburgh holds the property rights to the material in this collection, but the copyright may still be held by the original creator/author. Researchers are therefore advised to follow the regulations set forth in the U.S. Copyright Code when publishing, quoting, or reproducing material from this collection without the consent of the creator/author or that go beyond what is allowed by fair use.",Image,eng